day,count_vote,count_user,ratio
2023-05-01,325,446,72.87
2023-05-02,413,545,75.7798
2023-05-03,756,934,80.9422
2023-05-04,820,1118,73.3453
2023-05-05,1248,1552,80.4124
2023-05-06,1375,1830,75.1366
2023-05-07,1355,1984,68.2964
2023-05-08,1295,2151,60.2046
2023-05-09,1318,2324,56.7126
2023-05-10,1372,2516,54.531
2023-05-11,1554,2855,54.4308
2023-05-12,1623,3189,50.8937
2023-05-13,1938,3571,54.2705
2023-05-14,2101,3756,55.9372
2023-05-15,1997,3948,50.5826
2023-05-16,2089,4066,51.3773
2023-05-17,1944,4132,47.0474
2023-05-18,1821,4232,43.0293
2023-05-19,1574,4287,36.7157
2023-05-20,1730,4412,39.2112
2023-05-21,1733,4617,37.5352
2023-05-22,1519,4745,32.0126
2023-05-23,1372,4832,28.394
2023-05-24,1274,4902,25.9894
2023-05-25,1066,4933,21.6096
2023-05-26,1191,4947,24.0752
2023-05-27,1332,4971,26.7954
2023-05-28,1356,4986,27.1961
2023-05-29,1301,5009,25.9732
2023-05-30,881,5027,17.5254
2023-05-31,763,5035,15.1539
2023-06-01,641,5036,12.7284
2023-06-02,681,5042,13.5065
2023-06-03,709,5044,14.0563
2023-06-04,571,5046,11.3159
2023-06-05,429,5048,8.4984
2023-06-06,584,5050,11.5644
2023-06-07,353,5052,6.9873
2023-06-08,275,5054,5.4412
2023-06-09,228,5054,4.5113
2023-06-10,258,5054,5.1049
2023-06-11,244,5055,4.8269
2023-06-12,165,5056,3.2634
2023-06-13,146,5057,2.8871
2023-06-14,140,5057,2.7684
2023-06-15,118,5059,2.3325
2023-06-16,109,5062,2.1533
2023-06-17,113,5063,2.2319
2023-06-18,113,5064,2.2314
2023-06-19,83,5065,1.6387
2023-06-20,56,5065,1.1056
2023-06-21,47,5065,0.9279
2023-06-22,78,5065,1.54
2023-06-23,36,5065,0.7108
2023-06-24,77,5066,1.5199
2023-06-25,64,5066,1.2633
2023-06-26,36,5066,0.7106
2023-06-27,32,5066,0.6317
2023-06-28,39,5067,0.7697
2023-06-29,22,5070,0.4339
2023-06-30,28,5070,0.5523
2023-07-01,31,5070,0.6114
2023-07-02,25,5070,0.4931
2023-07-03,28,5070,0.5523
2023-07-04,25,5070,0.4931
2023-07-05,24,5070,0.4734
2023-07-06,15,5071,0.2958
2023-07-07,18,5071,0.355
2023-07-08,25,5071,0.493
2023-07-09,18,5071,0.355
2023-07-10,17,5071,0.3352
2023-07-11,83,5072,1.6364
2023-07-12,39,5072,0.7689
2023-07-13,30,5073,0.5914
2023-07-14,23,5073,0.4534
2023-07-15,13,5073,0.2563
2023-07-16,17,5073,0.3351
2023-07-17,12,5073,0.2365
2023-07-18,18,5073,0.3548
2023-07-19,14,5073,0.276
2023-07-20,26,5073,0.5125
2023-07-21,27,5073,0.5322
2023-07-22,14,5073,0.276
2023-07-23,19,5073,0.3745
2023-07-24,9,5073,0.1774
2023-07-25,9,5074,0.1774
2023-07-26,12,5074,0.2365
2023-07-27,14,5074,0.2759
2023-07-28,14,5074,0.2759
2023-07-29,17,5074,0.335
2023-07-30,11,5074,0.2168
2023-07-31,16,5074,0.3153
